Type,EventName,EventTown
Street Kitchen,Bolton,Bolton
Street Kitchen,Bury,Bury
Street Kitchen,Leigh,Leigh
Street Kitchen,Oldham,Oldham
Street Kitchen,Wigan,Wigan
Breakfast Outreach,Manchester,Manchester
Evening Outreach,Manchester,Manchester
Evening Outreach,Glasgow,Glasgow
Evening Outreach,Liverpool,Liverpool
Takeaway,Grillsters,Bolton
Takeaway,Mash's Wing Ranch,Bolton
Takeaway,Koolios Fried Chicken,Bolton
Takeaway,Reel Fish and Chips,Bolton
Takeaway,Rice n Three,Bolton
Takeaway,Syds Takeaway,Bolton
Takeaway,The Coffee Grind,Bolton
